编号^登记号^原软件名称^版本号^变更事项^变更前^变更后^登记日期
20104812^2009SRBJ3005^洪恩电脑综合应用短训教程软件^V1.0^著作权人名称^北京厚德教育科技有限公司^北京家园社教育科技有限公司^2010-12-31
20091748^2006SR04695^PZ单电量测控管理模块软件^V1.0^著作权人名称^上海安科瑞电气有限公司^上海安科瑞电气股份有限公司^2009-08-31
20111044^2006SR18034^天一众合KJ133矿用人员定位安全管理系统软件^V1.0^著作权人名称^北京天一众合科技发展有限责任公司^北京天一众合科技股份有限公司^2011-03-09
20112182^2005SRBJ1912^编组站调机自动化软件^V1.0^著作权人名称^北京全路通信信号研究设计院^北京全路通信信号研究设计院有限公司^2011-05-13
2007603^2005SR05118^GPS车辆监控管理系统软件^V1.0^软件名称^GPS车辆监控管理系统软件 [简称: XTSoft-GPS] V1.0^讯通GPS车辆监控管理软件 [简称: XTSoft-GPS] V1.0^2007-08-07
2007459^2006SR01998^奥普特四轮定位操作系统^V4.62^著作权人名称^厦门市欧普特检测设备有限公司^奥普特(厦门)检测设备有限公司^2007-06-27
20110899^2009SR04965^实达短信息定制查询系统软件^V1.0.0^著作权人名称^福建实达系统集成有限公司^实邑(福建)软件系统科技有限公司^2011-03-03
20100262^2009SR014002^USB Boot 设备端程序^1.4^著作权人名称^北京君正集成电路有限公司^北京君正集成电路股份有限公司^2010-01-22
20102450^2010SR017521^WS400(J08)控制软件^V1.0.0.0^著作权人名称^深圳市佳士科技发展有限公司^深圳市佳士科技股份有限公司^2010-07-29
20090298^2002SR4118^开放式基金代销系统^V2.0^著作权人名称^深圳市脉山龙实业有限公司^深圳市脉山龙信息技术股份有限公司^2009-03-16
20112091^2009SR025573^互联网视频监控管理系统^V1.0^著作权人名称^武汉金桥网络安全技术有限公司^武汉金桥投资管理集团有限公司^2011-05-04
20113461^2001SR5426^中兴智能电子警察系统^V1.0^著作权人名称^中兴智能交通系统(北京)有限公司^中兴智能交通(无锡)有限公司^2011-07-11
2007273^2004SR13028^产品全生命周期管理系统^V1.0^著作权人名称^北京艾克斯特工业自动化技术有限公司^北京艾克斯特科技有限公司^2007-05-29
20102372^2009SR056418^苏源输电GIS系统软件^V3.0^著作权人名称^江苏苏源信息技术有限公司^江苏电力信息技术有限公司^2010-07-21
20103831^960122^机场自动化管理系统^V1.0^著作权人名称^北京长天电子商务应用软件与系统有限公司^长天科技有限公司^2010-11-02
2007664^2003SR11322^华隆用电现场服务终端软件^V2.0^著作权人名称^杭州华隆信息技术有限公司^杭州百富华隆信息技术有限公司^2007-08-22
20112153^2008SR38938^旱情信息管理系统^V1.0^软件名称^旱情信息管理系统 V1.0^四创旱情信息管理系统 V1.0^2011-05-13
20092222^2009SR013977^BIG-IP X-Control软件系统^V1.2.1.0^软件名称^BIG-IP X-Control软件系统 V1.2.1.0^BIG-IP中文网管系统软件 V1.2.1.0^2009-10-29
2008073^2007SR06283^临床检验信息管理系统^V1.0^软件名称^临床检验信息管理系统 V1.0^执诚临床检验信息管理软件 V1.0^2008-01-15
20112693^2001SR0055^浙大经纬纹织CAD^V3.0^著作权人名称^杭州浙大经纬计算机系统工程有限公司^杭州经纬计算机系统工程有限公司^2011-06-15
20103570^2010SR006088^数字测绘系统^V5.0^软件名称^数字测绘系统 [简称: WalkField] V5.0^万维数字测绘系统软件 [简称: WalkField] V5.0^2010-10-27
2007414^2005SR02555^华为三康S8500以太网交换机软件^V1.0^软件名称^华为三康S8500以太网交换机软件 [简称: Quidway S8500软件] V1.0^H3C S8500以太网交换机软件 V1.0^2007-06-19
20100900^2005SR02723^聚光气体分析仪网络管理系统^V1.0^著作权人名称^聚光科技(杭州)有限公司^聚光科技(杭州)股份有限公司^2010-04-07
20091983^2008SR23713^泰瑞捷单相电子式载波电能表软件^V1.0^著作权人名称^深圳市泰瑞捷电子有限公司^深圳市航天泰瑞捷电子有限公司^2009-09-22
20103326^2010SR022033^银行全业务测试系统^1.0^软件名称^银行全业务测试系统 1.0^和润银行全业务测试系统 1.0^2010-09-30
20090229^2001SR2806^射频智能卡网络版预付费收费集成`管理系统^V2000^著作权人名称^郑州新开普电子技术有限公司^郑州新开普电子股份有限公司^2009-03-02
软著变补字第201104834号^2010SRBJ5366^TBSS综合采集系统软件[简称：TBSS综合采集系统]V1.0^^著作权人姓名或名称^华泰贝通网络科技有限公司^华泰贝通软件科技有限公司^2011-09-26
20112028^2008SR35351^信息港广域总机管理系统软件^V1.0^著作权人名称^金华信息港数码科技有限公司^浙江中呼科技有限公司^2011-05-04
20092592^2009SR07121^网剑防火墙系统^V1.0^著作权人名称^福建伊时代信息科技有限公司^福建伊时代信息科技股份有限公司^2009-12-09
2007734^2004SR02605^移软手机人机界面软件mMMI^V4.0^软件名称^移软手机人机界面软件mMMI [简称: mMMI] V4.0^爱可信手机人机界面软件mMMI V4.0^2007-09-03
20110639^2010SR059786^机房专用空调控制器嵌入式软件^V2.3^软件名称^机房专用空调控制器嵌入式软件 [简称: Tmaster] V2.3^约顿机房专用空调控制器嵌入式软件 [简称: Tmaster] V2.3^2011-02-22
20091161^2006SRBJ2339^农产品批发市场信息系统^V1.0^著作权人名称^北京东华合创数码科技股份有限公司^东华软件股份公司^2009-07-13
20090744^2008SR16958^数码相框应用工具软件^V1.0^著作权人名称^四川登巅微电子有限公司^和芯微电子(四川)有限公司^2009-05-27
20091186^2008SR26110^光发广播电视监管系统^V1.0^著作权人名称^武汉光发网络工程有限公司^武汉光发科技有限公司^2009-07-16
20104548^2008SR16417^快威状态检修辅助分析决策系统软件^V1.0^著作权人名称^浙江大学快威科技集团有限公司^快威科技集团有限公司^2010-12-13
2007072^2006SR17460^恒生股指期货系统软件^V3.0^软件名称^恒生股指期货系统软件 [简称: 股指系统] V3.0^恒生金融期货系统软件 [简称: 金融系统] V3.0^2007-02-26
20111284^2009SR020460^特种设备安全监管地理信息系统^V1.0^著作权人名称^厦门精图信息技术有限公司^厦门精图信息技术股份有限公司^2011-03-24
20091672^2007SR12647^浙庆科技宽带认证计费系统软件^V1.0^软件名称^浙庆科技宽带认证计费系统软件 [简称: 浙庆宽带认证计费软件] V1.0^浙金宽带认证计费管理系统软件 V1.0^2009-08-27
2007382^2004SR04725^中软融鑫银行业务通用网上统计系统^V1.0^软件名称^中软融鑫银行业务通用网上统计系统 V1.0^中软融鑫银行业务通用网上统计系统 [简称: 通用数据交换平台] V1.0^2007-06-18
20102937^2009SR044387^DC-WORKFLOW神州数码工作流平台^V1.0^著作权人名称^武汉神州数码有限公司^领航动力信息系统有限公司^2010-08-20
20112683^2008SR06392^国图城镇地籍管理信息系统软件^V3.0^著作权人名称^南京国图信息工程有限责任公司^南京国图信息产业股份有限公司^2011-06-15
20112509^2009SR08793^古鳌GA-5000型纸币清分机软件^V1.0^著作权人名称^上海古鳌电子机械有限公司^上海古鳌电子科技股份有限公司^2011-05-31
20092589^2007SR07767^网站抗攻击防护系统^V1.0^著作权人名称^福建伊时代信息科技有限公司^福建伊时代信息科技股份有限公司^2009-12-09
20102456^2008SR34063^昱安青少年网络化健康益智软件系统^V1.0^软件名称^昱安青少年网络化健康益智软件系统 V1.0^昱安青少年网络化健康益智软件 V1.0^2010-07-29
2008857^2004SR09253^NetEye IDS入侵检测系统^V2.0^著作权人名称^沈阳东软软件股份有限公司^东软集团股份有限公司^2008-09-01
20090401^2006SR08695^国内外标准检索系统软件^V1.0^软件名称^国内外标准检索系统软件 [简称: 标准检索系统] V1.0^板桥国内外标准检索系统 [简称: 标准检索系统] V1.0^2009-03-30
20113623^2009SR023809^品恩首长终端屏系统^V 1.2^著作权人名称^北京品恩科技有限公司^北京品恩科技股份有限公司^2011-07-18
20101992^2008SR18750^轮胎外观质检信息管理系统软件^V1.0^著作权人名称^青岛高校软控股份有限公司^软控股份有限公司^2010-06-22
20090249^2008SR38382^X射线荧光光谱仪Thick USB口英文分析软件^V1.0^著作权人名称^江苏天瑞信息技术有限公司^江苏天瑞仪器股份有限公司^2009-03-03
20091333^2008SR30706^乐视企业TV运营系统^V2.0^著作权人名称^乐视移动传媒科技(北京)有限公司^乐视网信息技术(北京)股份有限公司^2009-07-27
20110004^2009SR00498^林中达绿色网络教室软件^V1.0^软件名称^林中达绿色网络教室软件 [简称: 林中达绿色网络教室] V1.0^科优达绿色网络教室软件 [简称: 科优达绿色网络教室] V1.0^2011-01-05
20101607^2008SRBJ6453^收入保障系统^V1.0^著作权人名称^北京道隆华尔软件有限公司^北京道隆华尔软件股份有限公司^2010-05-24
2007693^2004SR11246^高等学校收费管理系统^V2004^软件名称^高等学校收费管理系统 [简称: 高校收费管理系统] V2004^国子收费管理系统 V2004^2007-08-27
20100705^2010SR003254^群英赋Online网络游戏软件^V1.0^软件名称^群英赋Online网络游戏软件 [简称: 群英赋Online] V1.0^光涛群英赋Online网络游戏软件 [简称: 群英赋Online] V1.0^2010-03-25
20101154^2003SR11235^AdventNet TMF NMS本地化版^V4.0^著作权人名称^艾德威特网络软件技术(北京)有限公司 AdventNet,Inc^卓豪(北京)技术有限公司 ZOHO Corporation^2010-04-22
20100457^2009SR054082^通用高压变频调速系统^V1.0^软件名称^通用高压变频调速系统 V1.0^高压变频调速系统 V1.0^2010-02-26
20100797^2009SR060904^问卷调查系统^V1.0^软件名称^问卷调查系统 [简称: MBQUS] V1.0^支持多组复式定量定性调研信息收集与分析管理系统 [简称: MBQUS] V1.0^2010-03-31
20102976^2008SR02992^神州数码易用2008管理软件^V1.0^著作权人名称^鼎捷软件有限公司、北京神州数码管理系统有限公司、 广州神州数码管理系统有限公司^鼎捷软件有限公司、北京神州数码管理系统有限公司、 广州鼎捷软件有限公司^2010-08-25
20110535^2010SR053783^履带式翻板机控制系统^V1.0^软件名称^履带式翻板机控制系统 V1.0^飞为履带式翻板机控制软件 V1.0^2011-02-09
20112025^2008SR34810^信息港电子商务短信系统管理平台软件^V1.0^著作权人名称^金华信息港数码科技有限公司^浙江中呼科技有限公司^2011-05-04
20100293^2003SR12138^“全球眼”(MEGA EYES)图像管理系统^V1.0^著作权人名称^北京互信互通信息技术有限公司^北京互信互通信息技术股份有限公司^2010-01-25
2005038^2004SR06455^中国医院信息系统-CHIS^V5.0^软件名称^中国医院信息系统-CHIS [简称: CHIS ] V5.0^众邦数字医疗系统软件-CHIS [简称: CHIS ] V5.0^2005-04-14
20114241^2007SR08475^公交GPS车辆调度管理系统^V1.0^著作权人名称^深圳市慧视通科技有限公司^深圳市慧视通科技股份有限公司^2011-08-18
20102269^2008SR09453^普极超市会员卡系统^V1.0^著作权人名称^厦门东南融通系统工程有限公司^东南融通(中国)系统工程有限公司^2010-07-12
2005023^2004SR04239^联想网上审批平台系统软件^V1.0^软件名称^联想网上审批平台系统软件 [简称: 联想网上审批平台 ] V1.0^电子政务网上审批市级平台软件 V1.0^2005-03-10
20102796^2010SR002673^《梦回山海》游戏软件^V1.0^著作权人名称^深圳市中青宝网网络科技股份有限公司^深圳中青宝互动网络股份有限公司^2010-08-16
20102443^2006SRBJ0179^兴竹财务管理系统^V2.0^著作权人名称^北京大唐兴竹软件技术有限公司^北京兴竹共创软件技术有限公司^2010-07-29
20101774^2007SR20894^贝尔阿尔卡特CRBT彩铃业务软件^V1.0^著作权人名称^上海贝尔阿尔卡特软件有限公司^上海贝尔软件有限公司^2010-06-08
20090053^2002SR4022^多协议视频编解码器软件^V1.0^著作权人名称^北京鼎视通软件技术有限公司^POLYCOM通讯技术（北京）有限公司^2009-02-11
20090040^2008SR36565^笑话西游Online游戏软件^V1.0^软件名称^笑话西游Online游戏软件 [简称: 笑话西游] V1.0^铁血西游Online游戏软件 V1.0^2009-02-11
20114363^2001SR5718^苏富特安全操作系统Soft OS^V1.0^著作权人名称^江苏南大苏富特软件股份有限公司^江苏南大苏富特科技股份有限公司^2011-08-26
20081034^2002SR2231^权限控制系统NetAccess^V1.0^著作权人名称^北京信安世纪信息安全技术有限公司^北京华耀伟业科技有限公司^2008-10-16
20100534^2005SR15840^智达康网络视频监控软件^V2.0^著作权人名称^南京智达康无线通信科技有限公司^南京智达康无线通信科技股份有限公司^2010-03-04
2002034^2000SR1724^DF2000电力企业管理信息系统^V1.0^软件名称^DF2000电力企业管理信息系统 [简称: DF2000 MIS ] V1.0^电力企业管理系统 V1.0^2002-10-08
20103749^2003SR11641^长天银联卡联网前置机系统数据库软件^V1.0^著作权人名称^北京长天科技集团有限公司^长天科技有限公司^2010-11-01
20092663^2003SR5578^光一BT-2280抄表终端软件^V1.0^著作权人名称^江苏光一科技有限责任公司^光一科技股份有限公司^2009-12-17
20110915^2010SR054446^DSLAM综合网络管理系统^V1.0^软件名称^DSLAM综合网络管理系统 [简称: STEMS] V1.0^欣诺综合网络管理软件 [简称: STEMS] V1.0^2011-03-03
20103573^2005SR06226^数维地理信息系统平台^V1.0^著作权人名称^杭州浙大数维信息系统工程有限公司^浙江浙大万维科技有限公司^2010-10-27
20104078^2010SR032153^车辆购置税电子档案采集系统^V1.0^软件名称^车辆购置税电子档案采集系统 [简称: 车购税档案影像采集端] V1.0^沪友车辆购置税电子档案采集软件 [简称: 车购税档案影像采集端] V1.0^2010-11-16
2007955^2001SR4241^金融智能卡操作系统HBCOS/BANK^V2.1^著作权人名称^江苏恒宝股份有限公司^恒宝股份有限公司^2007-12-05
20104674^2008SR13900^HD-LIPRO-1集成电路测试软件^V1.0^著作权人名称^北京华大泰思特半导体检测技术有限公司 北京华大智宝电子系统有限公司^北京确安科技股份有限公司 北京华大智宝电子系统有限公司^2010-12-20
20113169^2010SR069483^风向标发动机仿真教学软件^V1.0^著作权人名称^深圳市风向标教学设备有限公司^深圳市环球教学设备有限公司^2011-06-28
20100328^2009SRBJ6198^F1-创恒信电力物资管理系统^V1.0^著作权人名称^创恒信软件有限公司^普巴软件有限公司^2010-01-25
20112927^2009SR039560^网宿任务跟踪管理软件^V1.0^著作权人名称^上海网宿科技股份有限公司^网宿科技股份有限公司^2011-06-22
20090601^2008SRBJ2749^方正春元代理银行非税收入收缴管理系统^V6.2^软件名称^方正春元代理银行非税收入收缴管理系统 [简称: 银行非税] V6.2^方正春元政府财政管理信息系统--代理银行非税收入收缴管理系统 [简称: 财政管理信息系统--银行非税] V6.2^2009-04-30
20102762^2008SR18425^普元EOS软件^V6^著作权人名称^上海普元信息技术有限责任公司^上海普元信息技术股份有限公司^2010-08-14
20091809^2003SR11994^智能交通控制系统^V4.0^著作权人名称^北京易华录信息技术有限公司^北京易华录信息技术股份有限公司^2009-08-31
20113900^2009SR022511^DVBS用户在线注册管理系统^V1.0^著作权人名称^北京华云星地通卫星应用系统工程技术有限责任公司^北京华云星地通科技有限公司^2011-08-02
20112105^2008SR03244^天屹B1视音频采播软件^V1.0^软件名称^天屹B1视音频采播软件 [简称: B1视音频采播软件] V1.0^天翌B1视音频采播软件 [简称: B1视音频采播软件] V1.0^2011-05-05
20100775^2008SR10101^广茂达LED艺术灯光景观场景编辑软件^V1.0^著作权人名称^上海广茂达灯光景观工程有限公司^上海广茂达光艺科技股份有限公司^2010-03-29
20112345^2010SR047977^收音模块软件^V1.0^著作权人名称^深圳市索菱实业有限公司^深圳市索菱实业股份有限公司^2011-05-27
20092075^2008SR24235^矿友煤矿瓦斯检测监控系统^V1.0^著作权人名称^太原博华软件技术有限公司^山西博华科技有限公司^2009-09-27
20111734^2007SR04926^曙光机群管理系统^V4.0^著作权人名称^天津曙光计算机产业有限公司^曙光信息产业股份有限公司^2011-04-14
2008900^2007SR03992^BriskBVM运维监控系统^V5.0^著作权人名称^北京神州数码国信信息技术有限公司^神州数码信息系统有限公司^2008-09-01
20114096^2011SR013646^海格尔NAS桌面管理系统^V1.0^软件名称^海格尔NAS桌面管理系统 [简称: NAS桌面管理系统] V1.0^海格尔ARK安全存储网关系统 [简称: NAS桌面管理系统] V1.0^2011-08-08
20111618^2010SRBJ4157^离线编目工具软件^V1.0^著作权人名称^北京宜学在线教育技术有限责任公司^北京泛在时代教育技术有限责任公司^2011-04-08
20090270^2000SR2109^W-Nucleus实时操作系统^V1.0^著作权人名称^北京旋极信息技术有限公司^北京旋极信息技术股份有限公司^2009-03-12
20110516^2007SR19942^过程控制系统的板带板形自动控制及动态凸度控制软件^V1.0^著作权人名称^唐山微尔电子股份有限公司^唐山钢铁集团微尔自动化有限公司^2011-02-09
20113584^2010SR056558^搜客选中呼叫系统^V1.0^著作权人名称^上海港联电信技术有限公司^上海港联电信股份有限公司^2011-07-18
2008640^2008SR13239^凌宇LR-LN1取暖器电脑板软件^V1.0^软件名称^凌宇LR-LN1取暖器电脑板软件 [简称: 冷暖机电脑板] V1.0^凌宇LR-LN1冷暖机电脑板软件 V1.0^2008-07-31
20110808^2010SR052202^荣科考核投票管理系统^V1.0^著作权人名称^沈阳荣科科技工程有限公司^荣科科技股份有限公司^2011-03-01
20110095^2008SR38152^傲天短消息业务网关软件^V5.0^著作权人名称^深圳市傲天新信息技术有限公司^深圳市活力天汇科技有限公司^2011-01-12
20111862^2009SR020973^浦软猎鹰网站发布安全保护软件^V2.0^著作权人名称^上海浦东软件园信息技术有限公司^上海浦东软件园信息技术股份有限公司^2011-04-25
20102907^2008SR07827^新会计准则报表平台软件^V1.0^著作权人名称^北京亿创网安科技有限公司^北京亿创网安科技股份有限公司^2010-08-20
20102205^2005SR09558^迈乐多媒体中心PMC300软件^V0.904^著作权人名称^深圳市迈乐数码科技有限公司^深圳市迈乐数码科技股份有限公司^2010-07-12
20101062^2007SR15279^用友致远协同管理系统软件^V3.0^软件名称^用友致远协同管理系统软件 [简称: 协同管理软件系统] V3.0^致远协同管理系统软件 [简称: 协同管理软件系统] V3.0^2010-04-16
20112162^2008SRBJ2175^DS6-60型计算机联锁系统软件^V1.0^著作权人名称^北京全路通信信号研究设计院^北京全路通信信号研究设计院有限公司^2011-05-13
20092040^2005SR08044^南海数码客户服务信息系统^V1.0^软件名称^南海数码客户服务信息系统 [简称: 客服系统] V1.0^客户服务信息系统 [简称: 客服系统] V1.0^2009-09-27
20112424^2009SR01830^润宣网擎BandGear流量管理系统^V1.0^著作权人名称^润宣信息技术(北京)有限公司^网擎科技(北京)有限公司^2011-05-30
20081403^2007SR03879^影乐影视系统管理软件^V1.0^软件名称^影乐影视系统管理软件 V1.0^创典影视系统管理软件 V1.0^2008-12-25
20103640^2006SR06077^地典地理信息平台软件^V1.0^著作权人名称^福州四创软件开发有限公司^福建四创软件有限公司^2010-10-28
20112751^2011SR006436^温度控制软件^1.0^著作权人名称^上海辰光医疗科技有限公司^上海辰光医疗科技股份有限公司^2011-06-15
20100514^2008SRBJ2186^东华服务器管理系统^V2.0^软件名称^东华服务器管理系统 [简称: 计算机服务系统] V2.0^东华服务器管理系统 [简称: 计算机服务器系统] V2.0^2010-02-26
20103535^2004SR09918^金桥智能法庭软件^V1.0^著作权人名称^上海金桥信息工程有限公司^上海金桥信息股份有限公司^2010-10-22
2007195^2006SR17532^Runmit 3D Media Player软件^V1.0^软件名称^Runmit 3D Media Player软件 [简称: Runmit 3D Player] V1.0^SuperD 3D Media Player软件 [简称: SuperD 3D Player] V1.0^2007-04-16
20112718^2006SR16807^青鸟液位监控分析系统^V1.0^软件名称^青鸟液位监控分析系统 V1.0^博雅液位监控分析系统 V1.0^2011-06-15
20103409^2009SR05513^银江道路交通视频检测事件报警系统软件^V1.0^著作权人名称^浙江银江电子股份有限公司^银江股份有限公司^2010-10-14
20102352^2009SR031349^资源命名规则发布系统^V1.0^著作权人名称^沈阳易讯科技有限公司^沈阳易讯科技股份有限公司^2010-07-21
2007377^2006SR06765^苏源法律事务管理信息系统软件^V2.0^著作权人名称^苏源集团江苏信息技术有限公司^江苏苏源信息技术有限公司^2007-06-13
20101391^2008SRBJ0115^网通基于工作流的在线访谈管理系统^V1.0^著作权人名称^中国网通集团系统集成有限公司^联通系统集成有限公司^2010-05-12
20100239^2004SR02692^天华烟草复烤企业管理系统^V1.0^著作权人名称^昆明天华经纶科技有限公司^昆明红枫自动化工程技术有限公司^2010-01-22
20091101^2008SR00335^晟智城镇居民医疗保险管理系统^V2.2^著作权人名称^河南晟智软件科技有限公司^河南晟智科技有限公司^2009-07-09
20103151^2008SRBJ3673^吉源汇远水环境模拟结果动态显示软件^V1.0^著作权人名称^北京吉源汇远科技有限公司^北京源汇远科技有限公司^2010-09-07
20113160^2009SR042109^弹箭数据综合分析系统^V3.0^著作权人名称^北京圆规创新科技有限公司^北京源硅创新科技有限公司^2011-06-28
20112608^2011SR012871^星梦分发系统^V1.0^软件名称^星梦分发系统 V1.0^星梦分发系统软件 V1.0^2011-06-09
20103833^970396^长天金融电子转帐POS系统^V1.0^著作权人名称^北京长天电子商务应用软件与系统有限公司^长天科技有限公司^2010-11-02
20090886^2006SR07081^大通药物咨询及用药安全监测系统^V3.0^著作权人名称^上海浦东软件园大通医药信息技术有限公司^上海大通医药信息技术有限公司^2009-06-12
20081340^2006SR07458^远光社保综合管理系统^V1.0^著作权人名称^广东远光软件股份有限公司^远光软件股份有限公司^2008-12-16
20113227^2008SR26123^北斗玉衡运营中心值班监控软件^SysWatch2.0^著作权人名称^海南北斗星通信息服务有限公司^北斗星通信息服务有限公司^2011-06-30
20100184^2009SR016414^转码服务单元^V1.0^软件名称^转码服务单元 [简称: VAU] V1.0^互信互通转码服务单元 [简称: VAU] V1.0^2010-01-14
20101139^2009SR043275^慈铭健康体检科室工作站系统^8.1^著作权人名称^慈铭健康体检管理集团有限公司^慈铭健康体检管理集团股份有限公司^2010-04-21
20112611^2010SRBJ3927^CSC-815汽轮发电机组轴系扭振监测软件^V1.0^著作权人名称^北京四方继保自动化股份有限公司;北京四方绿能电气有限公司^北京四方继保自动化股份有限公司;北京领步智网电气技术有限公司^2011-06-09
